Fecha-Hora  (UTC),Lat(°),Long(°),Prof(Km),Mag.,Tipo Mag.,Rms(Seg),Gap(°),Error Lat(Km),Error Long(Km),Error Prof(Km),Region,Estado,lat_corregida,lon_corregida,municipio,departamento,cod_municipio,cod_departamento
41713.04625,7677,-74045,0.0007,5e-05,MLr_vmm,0.3,205,45903.0,3.0,45815.0,"San Pablo - Bolívar, Colombia",Manual,7.677,-74.045,SIMITÍ,BOLÍVAR,744,13
41713.246296296296,8817,-73497,0.0423,4.5689,MLr_vmm,0.1,255,45840.0,45779.0,4.0,"Pailitas - Cesar, Colombia",Manual,8.817,-73.497,PELAYA,CESAR,550,20
41713.51399305555,8822,-73498,0.0407,4.5689,MLr_vmm,0.1,255,45690.0,45870.0,45660.0,"Pailitas - Cesar, Colombia",Manual,8.822,-73.498,PELAYA,CESAR,550,20
41714.057754629626,7832,-73671,0.0484,8e-05,MLr_vmm,0.3,171,45810.0,45719.0,45907.0,"San Martín - Cesar, Colombia",Manual,7.832,-73.671,SAN MARTÍN,CESAR,770,20
41714.24024305555,7646,-74123,0.0362,8e-05,MLr_vmm,0.5,165,45781.0,45906.0,45843.0,"San Pablo - Bolívar, Colombia",Manual,7.646,-74.123,SIMITÍ,BOLÍVAR,744,13
41714.62049768519,7780,-73379,0.0001,4.5658,MLr_vmm,0.3,116,45778.0,45749.0,45753.0,"San Alberto - Cesar, Colombia",Manual,7.78,-73.379,SAN ALBERTO,CESAR,710,20
41714.86699074074,7318,-73925,0.0,7e-05,MLr_vmm,0.5,146,45660.0,45719.0,9.0,"Puerto Wilches - Santander, Colombia",Manual,7.318,-73.925,CANTAGALLO,BOLÍVAR,160,13
41715.39083333333,8415,-74199,45.898,5.9999999999999995e-05,MLr_vmm,0.1,209,0.8,45748.0,45749.0,"Tiquisio (Puerto Rico) - Bolívar, Colombia",Manual,8.415,-74.199,NOROSÍ,BOLÍVAR,490,13
41716.10134259259,7710,-73760,0.041100000000000005,4.5718,MLr_vmm,0.2,144,45901.0,45778.0,45812.0,"San Pablo - Bolívar, Colombia",Manual,7.71,-73.76,PUERTO WILCHES,SANTANDER,575,68
41717.310381944444,8171,-74403,0.0458,4.5717,MLr_vmm,0.3,174,45779.0,3.0,45785.0,"Montecristo - Bolívar, Colombia",Manual,8.171,-74.403,MONTECRISTO,BOLÍVAR,458,13
41717.39436342593,8860,-73511,45.833,4.5689,MLr_vmm,0.2,288,45840.0,45660.0,45782.0,"Pailitas - Cesar, Colombia",Manual,8.86,-73.511,PAILITAS,CESAR,517,20
41717.397569444445,8400,-73738,45.69,4.5689,MLr_vmm,0.5,93,45690.0,45690.0,6.0,"Gamarra - Cesar, Colombia",Manual,8.4,-73.738,GAMARRA,CESAR,295,20
41718.12363425926,7348,-73824,45.814,0.0001,MLr_vmm,0.4,207,45810.0,45720.0,45815.0,"Puerto Wilches - Santander, Colombia",Manual,7.348,-73.824,PUERTO WILCHES,SANTANDER,575,68
41719.324641203704,9176,-73670,45.834,4.5717,MLr_vmm,0.1,293,45871.0,45901.0,45840.0,"Curumaní - Cesar, Colombia",Manual,9.176,-73.67,CHIMICHAGUA,CESAR,175,20
41720.32733796296,7707,-73777,0.0444,5.9999999999999995e-05,MLr_vmm,0.3,153,45750.0,45779.0,8.0,"San Pablo - Bolívar, Colombia",Manual,7.707,-73.777,PUERTO WILCHES,SANTANDER,575,68
41720.465775462966,7911,-73756,0.044,7e-05,MLr_vmm,0.1,142,45778.0,45870.0,45813.0,"Simití - Bolívar, Colombia",Manual,7.911,-73.756,PUERTO WILCHES,SANTANDER,575,68
41723.00931712963,7841,-73343,0.024,4.5778,MLr_vmm,0.4,169,45840.0,45693.0,45724.0,"San Alberto - Cesar, Colombia",Manual,7.841,-73.343,ÁBREGO,NORTE DE SANTANDER,003,54
41723.49619212963,7792,-74238,45.824,5e-05,MLr_vmm,0.2,257,45748.0,45812.0,45872.0,"Santa Rosa del Sur - Bolívar, Colombia",Manual,7.792,-74.238,SANTA ROSA DEL SUR,BOLÍVAR,688,13
41723.736354166664,8168,-74340,0.0485,4.5901,MLr_vmm,0.3,231,45901.0,4.0,45905.0,"Montecristo - Bolívar, Colombia",Manual,8.168,-74.34,MONTECRISTO,BOLÍVAR,458,13
41723.94572916667,7923,-73743,0.0345,4.5778,MLr_vmm,0.3,102,2.0,45718.0,45692.0,"Simití - Bolívar, Colombia",Manual,7.923,-73.743,PUERTO WILCHES,SANTANDER,575,68
41724.41653935185,9077,-74050,0.0402,4.5659,MLr_vmm,0.1,315,3.0,45840.0,45660.0,"El Banco - Magdalena, Colombia",Manual,9.077,-74.05,EL BANCO,MAGDALENA,245,47
41724.60934027778,7155,-74243,0.0008,4.5658,MLr_vmm,0.4,173,45690.0,45691.0,45783.0,"Yondó (Casabe) - Antioquia, Colombia",Manual,7.155,-74.243,SAN PABLO,BOLÍVAR,670,13
41725.98929398148,8599,-73725,0.039799999999999995,4.5839,MLr_vmm,0.3,182,45841.0,45871.0,45871.0,"La Gloria - Cesar, Colombia",Manual,8.599,-73.725,LA GLORIA,CESAR,383,20
41726.167233796295,7106,-74627,0.0,4.5658,MLr_vmm,0.1,166,45839.0,45748.0,45813.0,"Segovia - Antioquia, Colombia",Manual,7.106,-74.627,REMEDIOS,ANTIOQUIA,604,05
41726.24012731481,7687,-74018,45.715,5e-05,MLr_vmm,0.2,161,3.0,45780.0,6.0,"San Pablo - Bolívar, Colombia",Manual,7.687,-74.018,SIMITÍ,BOLÍVAR,744,13
41726.24034722222,7762,-74192,45.905,5.9999999999999995e-05,MLr_vmm,0.2,233,45870.0,45720.0,45720.0,"Santa Rosa del Sur - Bolívar, Colombia",Manual,7.762,-74.192,SANTA ROSA DEL SUR,BOLÍVAR,688,13
41726.271215277775,8948,-73592,45.761,4.5748,MLr_vmm,0.4,266,45662.0,45841.0,45906.0,"Pailitas - Cesar, Colombia",Manual,8.948,-73.592,PAILITAS,CESAR,517,20
41726.273125,7732,-73768,0.039200000000000006,4.569,MLr_vmm,0.3,138,45690.0,45901.0,45690.0,"Simití - Bolívar, Colombia",Manual,7.732,-73.768,PUERTO WILCHES,SANTANDER,575,68
41726.644953703704,8609,-73723,0.038799999999999994,4.5839,MLr_vmm,0.4,186,45903.0,3.0,3.0,"La Gloria - Cesar, Colombia",Manual,8.609,-73.723,LA GLORIA,CESAR,383,20
41727.534895833334,7029,-74252,45.66,8e-05,MLr_vmm,0.3,145,45839.0,45749.0,45844.0,"Yondó (Casabe) - Antioquia, Colombia",Manual,7.029,-74.252,CANTAGALLO,BOLÍVAR,160,13
41727.53858796296,7895,-74373,0.0494,4.5658,MLr_vmm,0.1,276,45689.0,45810.0,45871.0,"Santa Rosa del Sur - Bolívar, Colombia",Manual,7.895,-74.373,MONTECRISTO,BOLÍVAR,458,13
41728.1069212963,8936,-73899,45.885,9e-05,MLr_vmm,0.3,269,45904.0,45660.0,45842.0,"El Peñón - Bolívar, Colombia",Manual,8.936,-73.899,EL PEÑÓN,BOLÍVAR,268,13
41728.55652777778,8475,-74321,45.744,9e-05,MLr_vmm,0.1,235,45717.0,45719.0,45875.0,"Tiquisio (Puerto Rico) - Bolívar, Colombia",Manual,8.475,-74.321,TIQUISIO (Puerto Rico),BOLÍVAR,810,13
41728.65136574074,7147,-74081,0.016,0.0001,MLr_vmm,0.2,306,45781.0,45841.0,45781.0,"Yondó (Casabe) - Antioquia, Colombia",Manual,7.147,-74.081,YONDÓ (Casabe),ANTIOQUIA,893,05
41729.44894675926,7315,-74008,45.676,4.5809,MLr_vmm,0.5,79,45749.0,45840.0,45663.0,"Cantagallo - Bolívar, Colombia",Manual,7.315,-74.008,CANTAGALLO,BOLÍVAR,160,13
41730.50162037037,6663,-73928,0.0004,4.5778,MLr_vmm,0.4,161,3.0,45659.0,45815.0,"Puerto Parra - Santander, Colombia",Manual,6.663,-73.928,PUERTO PARRA,SANTANDER,573,68
41730.610451388886,6959,-73514,45.729,4.5748,MLr_vmm,0.4,169,45811.0,45720.0,45846.0,"San Vicente de Chucurí - Santander, Colombia",Manual,6.959,-73.514,SAN VICENTE DE CHUCURÍ,SANTANDER,689,68
41731.084386574075,7563,-73332,45.891,7e-05,MLr_vmm,0.3,165,45902.0,2.0,45660.0,"La Esperanza - Norte de Santander, Colombia",Manual,7.563,-73.332,LA ESPERANZA,NORTE DE SANTANDER,385,54
41731.19972222222,7152,-74326,0.0003,4.5839,MLr_vmm,0.5,111,45871.0,45660.0,45816.0,"Segovia - Antioquia, Colombia",Manual,7.152,-74.326,SAN PABLO,BOLÍVAR,670,13
41732.245208333334,9176,-73767,0.032,4.5717,MLr_vmm,0.3,296,6.0,4.0,5.0,"Chimichagua - Cesar, Colombia",Manual,9.176,-73.767,CHIMICHAGUA,CESAR,175,20
41732.63699074074,7629,-74102,0.0386,5.9999999999999995e-05,MLr_vmm,0.3,275,4.0,6.0,45903.0,"San Pablo - Bolívar, Colombia",Manual,7.629,-74.102,SAN PABLO,BOLÍVAR,670,13
41733.317291666666,7405,-74070,45.917,4.5658,MLr_vmm,0.5,111,45660.0,45902.0,45843.0,"Cantagallo - Bolívar, Colombia",Manual,7.405,-74.07,SAN PABLO,BOLÍVAR,670,13
